NaKey,Province,Date,Prize8,Prize7,Prize6,Prize5,Prize4,Prize3,Prize2,Prize1,PrizeDB
dongnai30112022,Đồng Nai,2022-11-30,59,563,6365 - 4863 - 8989,3591,98866 - 11604 - 49524 - 20163 - 11755 - 86574 - 96772,09236 - 04395,25738,57530,610166
cantho30112022,Cần Thơ,2022-11-30,13,944,0008 - 2508 - 2960,1281,96286 - 39499 - 78873 - 47306 - 13074 - 84324 - 32540,20694 - 84464,56306,65292,378270
soctrang30112022,Sóc Trăng,2022-11-30,29,278,6602 - 3696 - 8043,4899,12525 - 74858 - 94156 - 24667 - 43625 - 28907 - 63207,20573 - 26070,35666,01489,787744
