NaKey,Province,Date,Prize8,Prize7,Prize6,Prize5,Prize4,Prize3,Prize2,Prize1,PrizeDB
dongnai28092022,Đồng Nai,2022-09-28,56,417,3269 - 9166 - 6426,7823,17965 - 78545 - 24980 - 13789 - 61797 - 08844 - 15676,68915 - 14725,26186,87640,295730
cantho28092022,Cần Thơ,2022-09-28,15,148,4653 - 8401 - 2971,6889,68769 - 41279 - 17914 - 37665 - 24716 - 46824 - 52755,78685 - 25655,02742,01425,414966
soctrang28092022,Sóc Trăng,2022-09-28,72,071,1411 - 9437 - 7416,1721,28283 - 35958 - 42585 - 37011 - 66577 - 05630 - 10783,21097 - 42566,76268,87288,221027
