NaKey,Province,Date,Prize8,Prize7,Prize6,Prize5,Prize4,Prize3,Prize2,Prize1,PrizeDB
dongnai14092022,Đồng Nai,2022-09-14,56,322,9709 - 2535 - 2138,1173,32820 - 30245 - 61874 - 80230 - 24553 - 64723 - 09869,01421 - 24274,97799,56491,201720
cantho14092022,Cần Thơ,2022-09-14,97,145,7440 - 8757 - 2523,7712,33818 - 95639 - 20415 - 48861 - 92038 - 76086 - 69312,56619 - 46975,85865,34568,861557
soctrang14092022,Sóc Trăng,2022-09-14,97,928,1865 - 5720 - 8013,0145,03345 - 23800 - 07816 - 37751 - 85679 - 37034 - 36234,35459 - 18883,86626,12582,774567
