NaKey,Province,Date,Prize8,Prize7,Prize6,Prize5,Prize4,Prize3,Prize2,Prize1,PrizeDB
vinhlong28102022,Vĩnh Long,2022-10-28,70,693,2274 - 3228 - 2164,7708,83484 - 17395 - 48561 - 30699 - 75694 - 87282 - 85025,06836 - 24304,21752,98108,788536
binhduong28102022,Bình Dương,2022-10-28,33,427,6893 - 4899 - 9361,6858,64083 - 15524 - 71966 - 64784 - 80131 - 40841 - 82115,49893 - 33377,53835,82776,448938
travinh28102022,Trà Vinh,2022-10-28,74,458,8800 - 2179 - 5652,5550,92437 - 10701 - 39418 - 80830 - 73649 - 34671 - 53119,83569 - 73291,48016,33257,794280
